date (yyyy/mm/dd),name,voltage (kV),set_prove_corrent (nA),program,ch,crystal,element,x-ray,peak_count,bg_count,peak_pos,std_name,prove_corrent (nA),net (count per sec)
2021/1/1,EPMA,15,10,glass,1,TAP,Na,Ka,10,5,129.638,Albite,9.98,403
2021/1/1,EPMA,15,10,glass,2,TAP,Mg,Ka,10,5,107.507,MgO,9.87,7632.9
2021/1/1,EPMA,15,10,glass,3,PETH,K,Ka,10,5,119.91,KAlSiO8,9.794,960.6
2021/1/1,EPMA,15,10,glass,4,PETJ,Ca,Ka,10,5,106.986,Wollasto,10,2720.1
2021/1/1,EPMA,15,10,glass,5,LIF,Fe,Ka,10,5,134.642,Fe2O3,9.812,1557.9
2021/1/1,EPMA,15,10,glass,1,TAP,Si,Ka,10,5,77.244,SiO2,10.1,8923.5
2021/1/1,EPMA,15,10,glass,2,TAP,Al,Ka,10,5,90.513,Al2O3,10.01,9773.6
2021/1/1,EPMA,15,10,glass,3,PETH,P,Ka,10,5,197.314,KTiKPO4,10,1300
2021/1/1,EPMA,15,10,glass,4,PETJ,Ti,Ka,10,5,87.087,TiO2,10.02,4165
2021/1/1,EPMA,15,10,glass,5,LIF,Mn,Ka,10,5,146.162,MnO,10.02,1593.6
2021/1/2,EPMA,15,20,full,1,TAP,Si,Ka,10,5,77.259,SiO2,19.95,18100.5
2021/1/2,EPMA,15,20,full,2,TAP,Na,Ka,10,5,129.562,Albite,19.72,796.5
2021/1/2,EPMA,15,20,full,3,LIFH,Ni,Ka,10,5,115.132,NiO,19.69,11020.9
2021/1/2,EPMA,15,20,full,4,PETJ,K,Ka,10,5,119.407,KAlSiO8,19.81,1715.8
2021/1/2,EPMA,15,20,full,5,PETJ,V,Ka,10,5,80.096,PbVGeOxide,19.6,1364.9
2021/1/2,EPMA,15,20,full,1,TAP,Mg,Ka,10,5,107.59,MgOxide,19.96,14054.7
2021/1/2,EPMA,15,20,full,2,TAP,Al,Ka,10,5,90.518,AlOxide,20.02,19609
2021/1/2,EPMA,15,20,full,3,LIFH,Cr,Ka,10,5,159.285,Cr2O3,19.89,9272.3
2021/1/2,EPMA,15,20,full,4,PETJ,Ca,Ka,10,5,106.984,Wollasto,19.93,5385.5
2021/1/2,EPMA,15,20,full,5,LIF,Fe,Ka,10,5,134.666,Fe2O3,19.97,3284.4
2021/1/2,EPMA,15,20,full,4,PETJ,Ti,Ka,10,5,87.067,TiO2,19.63,8244.5
2021/1/2,EPMA,15,20,full,5,LIF,Mn,Ka,10,5,146.191,MnO,19.75,3079.9
